الاسم,خط العرض,خط الطول,التصنيف,الوصف,معرف المكان,سعر الدخول (جنيه)
Persou II,25.9896679,33.5691741,تاريخي,Persou II is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1,
Ikhnaton Hotel | فندق اخناتون,28.0991703,30.7590355,إقامة,"The Ikhnaton Hotel is a modest accommodation option named after the ancient pharaoh Akhenaten, the revolutionary king who introduced monotheism to Egypt. Conveniently located for exploring the surrounding historical sites, the hotel offers basic amenities for travelers seeking an affordable base from which to discover the area's rich heritage.",2,
عزبة القشيرى (شاكر),28.4283281,30.8122787,خارجي وطبيعي,"عزبة القشيرى (شاكر) is an outdoor natural or recreational area in Egypt, offering visitors the opportunity to experience the country's diverse landscapes from the Nile Valley to the desert and Mediterranean coast.",3,
Ibn Khasib,28.0969662,30.7552796,إقامة,"Ibn Khasib is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",4,
Lotus Hotel | فندق لوتس,28.1016602,30.7522731,إقامة,"Lotus Hotel | فندق لوتس is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",5,
Taha Hussien statue,28.1025353,30.756442,ثقافي,"The statue of Taha Hussein, Egypt's iconic writer and intellectual known as the 'Dean of Arabic Literature,' commemorates one of the most influential figures in modern Arabic culture. Born blind in 1889, Taha Hussein overcame extraordinary obstacles to become Egypt's Minister of Education and a champion of free public education. His works including 'An Egyptian Childhood' remain classics of world literature.",6,
The Scroll,28.1043969,30.7553237,ثقافي,"The Scroll is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",7,
Horus sculpture,28.1142241,30.7499796,ثقافي,"Horus sculpture is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",8,
دماريس,28.1265492,30.7456894,إقامة,"دماريس is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",9,
Tourist Information,28.1014038,30.7573275,خدمات,Tourist Information is a service facility in Egypt that supports visitors and residents in the area.,10,
Tourist Information,28.0938629,30.7637157,خدمات,Tourist Information is a service facility in Egypt that supports visitors and residents in the area.,11,
Fraser Tombs,28.1621148,30.7769237,تاريخي,"The Fraser Tombs at Tihna el-Gebel in Minya governorate are a group of Old Kingdom rock-cut tombs dating to the 6th Dynasty, named after the 19th-century explorer who first documented them. The tombs contain well-preserved painted reliefs depicting daily life, agricultural scenes, and offering rituals. The site offers a relatively undiscovered window into provincial elite culture of ancient Egypt.",12,
