اسم الموقع,المحافظة,تصنيف الأثر,سعر المصري (جنيه),سعر الطالب المصري (جنيه),سعر الأجنبي (جنيه),سعر الطالب الأجنبي (جنيه),مواعيد الزيارة
قلعة صلاح الدين الأيوبى,القاهرة,إسلامي وقبطي ويهودي,60.0,30.0,550,275.0,من 8ص إلى 5م
قصر البارون,القاهرة,إسلامي وقبطي ويهودي,60.0,30.0,220,110.0,من 9ص إلى 6م
بانوراما قصر البارون,القاهرة,إسلامي وقبطي ويهودي,30.0,30.0,120,120.0,
شارع المعز لدين الله الفاطمي,القاهرة,إسلامي وقبطي ويهودي,20.0,10.0,220,110.0,من 9ص إلى 5م
مدرسة السلطان حسن وجامع الرفاعي,القاهرة,إسلامي وقبطي ويهودي,,,220,110.0,من 9ص إلى 5م
بيت السحيمي,القاهرة,إسلامي وقبطي ويهودي,10.0,5.0,220,110.0,من 9ص إلى 5م
باب زويلة,القاهرة,إسلامي وقبطي ويهودي,10.0,5.0,100,50.0,من 9ص إلى 5م
مجموعة محمد أبو الدهب - متحف نجيب محفوظ,القاهرة,إسلامي وقبطي ويهودي,10.0,5.0,100,50.0,من 9ص إلى 5م
التكية المولوية,القاهرة,إسلامي وقبطي ويهودي,10.0,5.0,50,10.0,من 9ص إلى 5م
مجموعة الغوري - القبة والسبيل والمنزل,القاهرة,إسلامي وقبطي ويهودي,10.0,5.0,150,75.0,من 9ص إلى 5م
وكالة الغوري,القاهرة,إسلامي وقبطي ويهودي,10.0,5.0,100,50.0,من 9ص إلى 5م
منزل جمال الدين الذهبي,القاهرة,إسلامي وقبطي ويهودي,10.0,5.0,50,30.0,من 9ص إلى 5م
منزل علي لبيب,القاهرة,إسلامي وقبطي ويهودي,10.0,5.0,100,50.0,من 9ص إلى 5م
مسلة سنوسرت الأول بالمطرية,القاهرة,مصري ويوناني وروماني,10.0,5.0,120,120.0,من 8ص إلى 5م
المسار السياحي بالدرب الأحمر,القاهرة,مصري ويوناني وروماني,10.0,10.0,100,10.0,من 9ص إلى 5م
شجرة مريم,القاهرة,مصري ويوناني وروماني,10.0,5.0,100,10.0,من 9ص إلى 5م
مقابر العائلة المالكة,القاهرة,مصري ويوناني وروماني,30.0,5.0,40,20.0,من 9ص إلى 5م
سبيل وكتاب نفيسة البيضاء,القاهرة,مصري ويوناني وروماني,10.0,5.0,60,30.0,من 9ص إلى 5م
مقياس النيل,القاهرة,مصري ويوناني وروماني,20.0,10.0,100,10.0,من 9ص إلى 5م
منزل الست وسيلة,القاهرة,مصري ويوناني وروماني,10.0,5.0,100,50.0,من 9ص إلى 5م
سبيل وكتاب قايتباي شارع الصليبة,القاهرة,مصري ويوناني وروماني,10.0,5.0,100,50.0,من 9ص إلى 5م
المتحف المصري بالتحرير,القاهرة,متحف,30.0,20.0,550,275.0,من 9ص إلى 5م
المرشد السمعي للمجموعات - المتحف المصري,القاهرة,متحف,30.0,30.0,75,75.0,
متحف الفن الإسلامي,القاهرة,متحف,20.0,10.0,320,160.0,من 9ص إلى 5م
المتحف القبطي,القاهرة,متحف,20.0,10.0,280,140.0,من 9ص إلى 5م
قصر الأمير محمد علي بالمنيل,القاهرة,متحف,10.0,5.0,200,200.0,من 9ص إلى 5م
متحف المركبات الملكية,القاهرة,متحف,30.0,20.0,320,150.0,من 9ص إلى 5م
متحف ركن فاروق,القاهرة,متحف,20.0,10.0,120,50.0,من 9ص إلى 5م
متحف جاير أندرسون,القاهرة,متحف,20.0,5.0,120,50.0,من 9ص إلى 5م
المتحف القومي للحضارة المصرية,القاهرة,متحف,80.0,20.0,525,250.0,من 9ص إلى 5م (جمعة: 9ص-5م و6م-9م)
أهرامات الجيزة,الجيزة,مصري ويوناني وروماني,30.0,20.0,700,350.0,من 7ص إلى 5م
هرم خوفو من الداخل,الجيزة,مصري ويوناني وروماني,100.0,50.0,2000,500.0,من 7ص إلى 5م (يغلق 11ظ-1ظ)
هرم خفرع - الداخل,الجيزة,مصري ويوناني وروماني,30.0,20.0,280,140.0,من 7ص إلى 5م
هرم منكاورع - الداخل,الجيزة,مصري ويوناني وروماني,30.0,20.0,280,140.0,من 7ص إلى 5م
أبو الهول - زيارات خاصة,الجيزة,مصري ويوناني وروماني,,,200,,
مقبرة مر-اس-عنخ,الجيزة,مصري ويوناني وروماني,10.0,5.0,120,120.0,من 7ص إلى 5م
مقابر العمال - 5 تذاكر على الأقل,الجيزة,مصري ويوناني وروماني,,,700,350.0,من 7ص إلى 5م
منطقة سقارة - هرم زوسر ومتحف إيمحتب,الجيزة,مصري ويوناني وروماني,30.0,30.0,300,300.0,من 8ص إلى 5م
مقابر النبلاء - جبانة حور حمب والبوباسطيون,الجيزة,مصري ويوناني وروماني,30.0,30.0,300,300.0,من 8ص إلى 5م
السرابيوم,الجيزة,مصري ويوناني وروماني,30.0,5.0,300,150.0,من 8ص إلى 5م
مقبرة ميرروكا,الجيزة,مصري ويوناني وروماني,30.0,5.0,200,200.0,من 8ص إلى 5م
تذكرة مجمعة لجميع مقابر سقارة,الجيزة,مصري ويوناني وروماني,,,2000,500.0,من 8ص إلى 5م
هرم زوسر المدرج من المدخل الجنوبي,الجيزة,مصري ويوناني وروماني,30.0,30.0,280,200.0,من 8ص إلى 5م
المقبرة الجنوبية - سقارة,الجيزة,مصري ويوناني وروماني,30.0,30.0,200,250.0,من 8ص إلى 5م
منطقة آثار دهشور,الجيزة,مصري ويوناني وروماني,10.0,5.0,120,120.0,من 8ص إلى 5م
منطقة آثار ميت رهينة - ممفيس,الجيزة,مصري ويوناني وروماني,10.0,5.0,120,120.0,من 8ص إلى 5م
منطقة آثار الواحات البحرية,الجيزة,مصري ويوناني وروماني,10.0,5.0,120,50.0,من 8ص إلى 9م
قلعة قايتباي - الإسكندرية,الإسكندرية,إسلامي وقبطي ويهودي,10.0,30.0,120,120.0,من 9ص إلى 8م
عمود السواري,الإسكندرية,مصري ويوناني وروماني,10.0,5.0,120,120.0,من 9ص إلى 5م
كوم الدكة - المسرح الروماني,الإسكندرية,مصري ويوناني وروماني,10.0,10.0,120,120.0,من 9ص إلى 5م
كوم الشقافة,الإسكندرية,مصري ويوناني وروماني,30.0,20.0,120,120.0,من 9ص إلى 5م
مقابر مصطفى كامل,الإسكندرية,مصري ويوناني وروماني,10.0,5.0,100,50.0,من 9ص إلى 5م
مقابر الأنفوشي,الإسكندرية,مصري ويوناني وروماني,10.0,5.0,100,50.0,من 9ص إلى 5م
جبانة الشاطبي الأثرية,الإسكندرية,مصري ويوناني وروماني,10.0,10.0,100,50.0,من 9ص إلى 5م
الآثار الغارقة بالميناء الشرقي,الإسكندرية,مصري ويوناني وروماني,35.0,35.0,180,90.0,من 9ص إلى 5م
متحف الإسكندرية القومي,الإسكندرية,متحف,10.0,5.0,100,100.0,من 9ص إلى 5م
متحف المجوهرات الملكية,الإسكندرية,متحف,10.0,5.0,100,100.0,من 9ص إلى 5م
المتحف اليوناني الروماني,الإسكندرية,متحف,40.0,20.0,200,100.0,من 9ص إلى 5م
متحف السويس القومي,السويس,متحف,10.0,10.0,180,90.0,من 9ص إلى 3م
متحف الإسماعيلية,الإسماعيلية,متحف,10.0,5.0,100,50.0,من 9ص إلى 3م
معبد الوحي بسيوه,مطروح,مصري ويوناني وروماني,10.0,5.0,120,60.0,من 9ص إلى 5م
مقابر جبل الموتى بسيوه,مطروح,مصري ويوناني وروماني,10.0,5.0,100,60.0,من 9ص إلى 5م
متحف مطروح,مطروح,متحف,10.0,10.0,180,90.0,من 9ص إلى 3م (صيفاً: 5م-10م)
متحف كهف روميل,مطروح,متحف,10.0,5.0,100,50.0,من 9ص إلى 3م
آثار مدينة رشيد,البحيرة,إسلامي وقبطي ويهودي,10.0,5.0,100,10.0,من 8:30ص إلى 9م
قلعة قايتباي برشيد,البحيرة,إسلامي وقبطي ويهودي,10.0,5.0,30,15.0,من 8:30ص إلى 9م
متحف كفر الشيخ,كفر الشيخ,متحف,10.0,10.0,100,100.0,من 9ص إلى 9م
متحف طنطا,الغربية,متحف,10.0,10.0,150,75.0,من 9ص إلى 3م
منطقة آثار تل بسطا,الشرقية,مصري ويوناني وروماني,10.0,5.0,150,75.0,من 9ص إلى 6م صيفاً / 5م شتاءً
منطقة آثار صان الحجر - تانيس,الشرقية,مصري ويوناني وروماني,10.0,5.0,100,10.0,من 9ص إلى 6م صيفاً / 5م شتاءً
قصر قارون,الفيوم,مصري ويوناني وروماني,10.0,5.0,150,75.0,من 8ص إلى 5م
هرم هوارة,الفيوم,مصري ويوناني وروماني,10.0,5.0,150,75.0,من 8ص إلى 5م
هرم اللاهون,الفيوم,مصري ويوناني وروماني,10.0,5.0,150,75.0,من 8ص إلى 5م
منطقة آثار كرانيس,الفيوم,مصري ويوناني وروماني,10.0,5.0,150,75.0,من 8ص إلى 5م
معبد مدينة ماضي,الفيوم,مصري ويوناني وروماني,10.0,5.0,120,60.0,من 8ص إلى 5م
متحف كوم أوشيم,الفيوم,متحف,10.0,5.0,100,50.0,من 9ص إلى 3م
هرم ميدوم,بني سويف,مصري ويوناني وروماني,10.0,5.0,150,75.0,من 8ص إلى 5م
تونا الجبل,المنيا,مصري ويوناني وروماني,10.0,10.0,120,120.0,من 8ص إلى 5م
تل العمارنة,المنيا,مصري ويوناني وروماني,10.0,10.0,120,120.0,من 8ص إلى 5م
المقبرة الملكية بالعمارنة,المنيا,مصري ويوناني وروماني,10.0,10.0,100,10.0,من 8ص إلى 5م
مقابر فريزر,المنيا,مصري ويوناني وروماني,10.0,10.0,100,50.0,من 8ص إلى 5م
مقابر بني حسن,المنيا,مصري ويوناني وروماني,10.0,10.0,120,120.0,من 8ص إلى 5م
زاوية سلطان,المنيا,إسلامي وقبطي ويهودي,10.0,10.0,100,50.0,من 8ص إلى 5م
متحف ملوي,المنيا,متحف,10.0,5.0,100,10.0,من 9ص إلى 3م
مقابر مير,أسيوط,مصري ويوناني وروماني,10.0,5.0,100,50.0,من 8ص إلى 5م
مقابر الهمامية,أسيوط,مصري ويوناني وروماني,10.0,5.0,100,50.0,من 8ص إلى 5م
مقابر المزوقة,الوادي الجديد,مصري ويوناني وروماني,10.0,5.0,100,50.0,من 8ص إلى 5م
قلاع الضبة وعين أصيل,الوادي الجديد,مصري ويوناني وروماني,10.0,5.0,100,50.0,من 8ص إلى 5م
معبد دير الحجر,الوادي الجديد,مصري ويوناني وروماني,10.0,5.0,100,50.0,من 8ص إلى 5م
منطقة آثار عزبة بشندي,الوادي الجديد,مصري ويوناني وروماني,10.0,5.0,100,50.0,من 8ص إلى 5م
مدينة القصر - الداخلة,الوادي الجديد,إسلامي وقبطي ويهودي,10.0,5.0,100,50.0,من 8ص إلى 5م
معبد هيبس,الوادي الجديد,مصري ويوناني وروماني,10.0,5.0,180,90.0,من 8ص إلى 5م
معبد الغويطة,الوادي الجديد,مصري ويوناني وروماني,10.0,5.0,100,50.0,من 8ص إلى 5م
معبد دوش,الوادي الجديد,مصري ويوناني وروماني,10.0,5.0,100,50.0,من 8ص إلى 5م
معبد الزيان,الوادي الجديد,مصري ويوناني وروماني,10.0,5.0,100,50.0,من 8ص إلى 5م
جبانة البجوات,الوادي الجديد,إسلامي وقبطي ويهودي,10.0,5.0,120,60.0,من 8ص إلى 5م
متحف الوادي الجديد,الوادي الجديد,متحف,10.0,5.0,150,75.0,من 9ص إلى 3م
معبد سيتي الأول - أبيدوس,سوهاج,مصري ويوناني وروماني,10.0,5.0,100,230.0,من 7ص إلى 5م
معبد مريت آمون,سوهاج,مصري ويوناني وروماني,10.0,5.0,100,10.0,من 7ص إلى 5م
كوم السلطان وشونة الزبيب,سوهاج,مصري ويوناني وروماني,10.0,5.0,100,50.0,من 7ص إلى 5م
منطقة الشيخ حمد,سوهاج,مصري ويوناني وروماني,10.0,5.0,150,75.0,من 7ص إلى 5م
مقابر الحواويش,سوهاج,مصري ويوناني وروماني,10.0,5.0,150,75.0,من 7ص إلى 5م
متحف سوهاج القومي,سوهاج,متحف,10.0,10.0,150,75.0,من 9ص إلى 3م
قصر الأمير يوسف كمال,قنا,إسلامي وقبطي ويهودي,10.0,5.0,100,50.0,من 8ص إلى 5م
