site_name,governorate,heritage_type,egyptian_egp,egyptian_student_egp,foreign_egp,foreign_student_egp,visiting_hours
Salah al-Din Citadel,Cairo,"Islamic, Coptic & Jewish",60.0,30.0,550,275.0,8AM–5PM
Baron Empain Palace,Cairo,"Islamic, Coptic & Jewish",60.0,30.0,220,110.0,9AM–6PM
Baron Palace Panorama,Cairo,"Islamic, Coptic & Jewish",30.0,30.0,120,120.0,
Al-Muizz Street,Cairo,"Islamic, Coptic & Jewish",20.0,10.0,220,110.0,9AM–5PM
Sultan Hassan & Al-Rifai Mosque,Cairo,"Islamic, Coptic & Jewish",,,220,110.0,9AM–5PM
Beit El-Suhaymi,Cairo,"Islamic, Coptic & Jewish",10.0,5.0,220,110.0,9AM–5PM
Bab Zuweila,Cairo,"Islamic, Coptic & Jewish",10.0,5.0,100,50.0,9AM–5PM
Mohamed Abu El-Dahab Complex (Naguib Mahfouz Museum),Cairo,"Islamic, Coptic & Jewish",10.0,5.0,100,50.0,9AM–5PM
Mevlevi Tekke,Cairo,"Islamic, Coptic & Jewish",10.0,5.0,50,10.0,9AM–5PM
"Al-Ghouri Complex (Dome, Sabil & House)",Cairo,"Islamic, Coptic & Jewish",10.0,5.0,150,75.0,9AM–5PM
Wikala al-Ghouri,Cairo,"Islamic, Coptic & Jewish",10.0,5.0,100,50.0,9AM–5PM
Gamal al-Din al-Dhahabi House,Cairo,"Islamic, Coptic & Jewish",10.0,5.0,50,30.0,9AM–5PM
Ali Labib House,Cairo,"Islamic, Coptic & Jewish",10.0,5.0,100,50.0,9AM–5PM
Senusret I Obelisk at Matariya,Cairo,"Egyptian, Greek & Roman",10.0,5.0,120,120.0,8AM–5PM
Darb al-Ahmar Tourist Trail,Cairo,"Egyptian, Greek & Roman",10.0,10.0,100,10.0,9AM–5PM
Virgin Mary Tree,Cairo,"Egyptian, Greek & Roman",10.0,5.0,100,10.0,9AM–5PM
Royal Family Tombs,Cairo,"Egyptian, Greek & Roman",30.0,5.0,40,20.0,9AM–5PM
Nafisa al-Bayda Sabil & Kuttab,Cairo,"Egyptian, Greek & Roman",10.0,5.0,60,30.0,9AM–5PM
Nilometer,Cairo,"Egyptian, Greek & Roman",20.0,10.0,100,10.0,9AM–5PM
Sett Wasila House,Cairo,"Egyptian, Greek & Roman",10.0,5.0,100,50.0,9AM–5PM
Qaytbay Sabil & Kuttab - Al-Saliba St.,Cairo,"Egyptian, Greek & Roman",10.0,5.0,100,50.0,9AM–5PM
Egyptian Museum at Tahrir,Cairo,Museum,30.0,20.0,550,275.0,9AM–5PM
Audio Guide (Groups) - Egyptian Museum,Cairo,Museum,30.0,30.0,75,75.0,
Museum of Islamic Art,Cairo,Museum,20.0,10.0,320,160.0,9AM–5PM
Coptic Museum,Cairo,Museum,20.0,10.0,280,140.0,9AM–5PM
